shift_type,no_tta,original,rich_ctx,cosa_plus
level,0.5340323448181152,0.46327292919158936,0.4633801579475403,0.4664652347564697
variance,0.2244436889886856,0.2064608782529831,0.20616522431373596,0.2066478282213211
trend,0.20652927458286285,0.16143573820590973,0.16144710779190063,0.162618026137352
spike,0.20211102068424225,0.1606397181749344,0.16063617169857025,0.1617152839899063
