shift_type,Original COSA,VecGate,RichCtx,COSA+
level,1.3900408744812012,1.3716293573379517,1.3893530368804932,1.3707458972930908
variance,1.3126128911972046,1.3037049770355225,1.3124865293502808,1.303288459777832
trend,0.9965068697929382,0.9858391284942627,0.9963563680648804,0.9854328632354736
spike,0.9797711968421936,0.9702786803245544,0.9797028303146362,0.9699252247810364
