shift_type,no_tta,original,cosa_plus
level,1.5141351222991943,1.3900408744812012,1.3707458972930908
variance,1.4018131494522095,1.3126128911972046,1.303288459777832
trend,1.0925077199935913,0.9965068697929382,0.9854328632354736
spike,1.0715038776397705,0.9797711968421936,0.9699252247810364
