x,y,label
3.473146438598633,-60.20437240600586,Normal
3.477962017059326,-60.216339111328125,Normal
3.3488693237304688,-60.138492584228516,Normal
2.9127707481384277,-59.84904861450195,Normal
2.329068422317505,-59.79679489135742,Normal
1.772477626800537,-60.23130416870117,Normal
1.4918057918548584,-60.806602478027344,Normal
1.1385793685913086,-61.22474670410156,Normal
1.2728723287582397,-60.97545623779297,Normal
1.2291558980941772,-61.01788330078125,Normal
1.2344772815704346,-60.92662048339844,Normal
1.225051760673523,-60.88304901123047,Normal
1.107466220855713,-60.95295715332031,Normal
1.351186990737915,-60.47084045410156,Normal
1.2886216640472412,-60.63583755493164,Normal
0.8531100153923035,-61.37583541870117,Normal
0.5416449904441833,-61.81333541870117,Normal
0.20857511460781097,-62.148563385009766,Normal
0.5409036874771118,-61.68632125854492,Normal
1.0684438943862915,-60.4637451171875,Normal
1.5749338865280151,-59.1498908996582,Normal
1.6523221731185913,-58.87395477294922,Normal
1.6492271423339844,-58.942543029785156,Normal
1.6860108375549316,-59.017887115478516,Normal
1.519019603729248,-59.11033630371094,Normal
0.040259405970573425,-58.585147857666016,Normal
-0.5767315030097961,-58.461769104003906,Normal
-0.9255615472793579,-58.50269317626953,Normal
-1.1397632360458374,-58.63985824584961,Normal
-3.5623703002929688,-62.0841178894043,Normal
-3.844250202178955,-62.88185501098633,Normal
-3.918464183807373,-63.25421142578125,Normal
-3.976240634918213,-63.672080993652344,Normal
-3.984858274459839,-63.95637512207031,Normal
-3.9779090881347656,-63.70613479614258,Normal
-3.9586293697357178,-63.584449768066406,Normal
-3.8744378089904785,-63.194618225097656,Normal
-3.9207780361175537,-63.24492645263672,Normal
-4.006587982177734,-63.74122619628906,Normal
-4.039597511291504,-64.1183090209961,Normal
-4.050560474395752,-64.34886169433594,Normal
-4.050361156463623,-64.53590393066406,Normal
-4.036989688873291,-64.67390441894531,Normal
-4.066544532775879,-64.99364471435547,Normal
-4.05094051361084,-64.90731811523438,Normal
-4.033560276031494,-64.885009765625,Normal
-3.887535333633423,-64.7274398803711,Normal
-3.614448070526123,-64.60523986816406,Normal
-3.2409210205078125,-64.60627746582031,Normal
-2.8257229328155518,-64.49701690673828,Normal
-2.158902883529663,-64.1456298828125,Normal
-1.4557746648788452,-63.579551696777344,Normal
-0.9294795989990234,-63.12846755981445,Normal
-0.5138684511184692,-62.79540252685547,Normal
-0.3012557625770569,-62.59429931640625,Normal
0.13863368332386017,-62.0588493347168,Normal
0.505207896232605,-61.37134552001953,Normal
0.6884523630142212,-60.72000503540039,Normal
0.9814478158950806,-60.04642868041992,Normal
1.132611870765686,-59.698402404785156,Normal
1.0307800769805908,-59.670387268066406,Normal
0.8436638116836548,-60.01585388183594,Normal
0.5734443664550781,-60.56503677368164,Normal
0.12781402468681335,-61.81414794921875,Normal
-0.2742856740951538,-62.39550018310547,Normal
-0.5848496556282043,-62.74686813354492,Normal
-0.7147423624992371,-62.870548248291016,Normal
-0.4136277437210083,-62.46723937988281,Normal
0.12901481986045837,-61.57542419433594,Normal
0.47833052277565,-60.33170700073242,Normal
0.41912052035331726,-59.51778030395508,Normal
0.07302262634038925,-58.69109344482422,Normal
-0.3999759554862976,-58.23920822143555,Normal
-0.6131317615509033,-57.66815948486328,Normal
5.661526203155518,-47.09093475341797,Normal
6.1348490715026855,-46.616146087646484,Normal
6.494994640350342,-46.2681999206543,Normal
6.813486099243164,-46.03399658203125,Normal
6.811778545379639,-45.952484130859375,Normal
6.707219123840332,-45.88898468017578,Normal
6.75686502456665,-45.86098098754883,Normal
6.895205974578857,-45.83842086791992,Normal
6.822298049926758,-45.81474685668945,Normal
7.002072334289551,-45.789791107177734,Normal
7.259799480438232,-45.790096282958984,Normal
7.941227912902832,-45.796531677246094,Normal
